loc,length,bug type,approach
226,1,Timestamp-Dependency,code snippet injection
224,1,Timestamp-Dependency,code snippet injection
222,1,Timestamp-Dependency,code snippet injection
37,1,Timestamp-Dependency,code snippet injection
35,1,Timestamp-Dependency,code snippet injection
31,3,Timestamp-Dependency,code snippet injection
26,4,Timestamp-Dependency,code snippet injection
290,5,Timestamp-Dependency,code snippet injection
272,9,Timestamp-Dependency,code snippet injection
256,3,Timestamp-Dependency,code snippet injection
243,4,Timestamp-Dependency,code snippet injection
233,5,Timestamp-Dependency,code snippet injection
204,9,Timestamp-Dependency,code snippet injection
195,3,Timestamp-Dependency,code snippet injection
185,4,Timestamp-Dependency,code snippet injection
173,5,Timestamp-Dependency,code snippet injection
162,4,Timestamp-Dependency,code snippet injection
148,9,Timestamp-Dependency,code snippet injection
140,3,Timestamp-Dependency,code snippet injection
131,4,Timestamp-Dependency,code snippet injection
121,5,Timestamp-Dependency,code snippet injection
107,9,Timestamp-Dependency,code snippet injection
99,3,Timestamp-Dependency,code snippet injection
72,4,Timestamp-Dependency,code snippet injection
62,5,Timestamp-Dependency,code snippet injection
48,9,Timestamp-Dependency,code snippet injection
217,3,Timestamp-Dependency,code snippet injection
19,5,Timestamp-Dependency,code snippet injection
14,4,Timestamp-Dependency,code snippet injection
8,5,Timestamp-Dependency,code snippet injection
