loc,length,bug type,approach
53,1,Timestamp-Dependency,code snippet injection
33,1,Timestamp-Dependency,code snippet injection
85,1,Timestamp-Dependency,code snippet injection
70,1,Timestamp-Dependency,code snippet injection
51,1,Timestamp-Dependency,code snippet injection
40,3,Timestamp-Dependency,code snippet injection
56,4,Timestamp-Dependency,code snippet injection
25,5,Timestamp-Dependency,code snippet injection
15,9,Timestamp-Dependency,code snippet injection
11,3,Timestamp-Dependency,code snippet injection
5,4,Timestamp-Dependency,code snippet injection
