loc,length,bug type,approach
566,1,Timestamp-Dependency,code snippet injection
559,1,Timestamp-Dependency,code snippet injection
542,1,Timestamp-Dependency,code snippet injection
533,1,Timestamp-Dependency,code snippet injection
525,1,Timestamp-Dependency,code snippet injection
490,3,Timestamp-Dependency,code snippet injection
475,4,Timestamp-Dependency,code snippet injection
449,5,Timestamp-Dependency,code snippet injection
421,9,Timestamp-Dependency,code snippet injection
401,3,Timestamp-Dependency,code snippet injection
374,4,Timestamp-Dependency,code snippet injection
350,5,Timestamp-Dependency,code snippet injection
324,9,Timestamp-Dependency,code snippet injection
303,3,Timestamp-Dependency,code snippet injection
287,4,Timestamp-Dependency,code snippet injection
275,5,Timestamp-Dependency,code snippet injection
258,4,Timestamp-Dependency,code snippet injection
242,9,Timestamp-Dependency,code snippet injection
510,3,Timestamp-Dependency,code snippet injection
505,4,Timestamp-Dependency,code snippet injection
499,5,Timestamp-Dependency,code snippet injection
225,9,Timestamp-Dependency,code snippet injection
220,3,Timestamp-Dependency,code snippet injection
214,4,Timestamp-Dependency,code snippet injection
