loc,length,bug type,approach
257,1,Timestamp-Dependency,code snippet injection
255,1,Timestamp-Dependency,code snippet injection
253,1,Timestamp-Dependency,code snippet injection
251,1,Timestamp-Dependency,code snippet injection
249,1,Timestamp-Dependency,code snippet injection
245,3,Timestamp-Dependency,code snippet injection
45,4,Timestamp-Dependency,code snippet injection
39,5,Timestamp-Dependency,code snippet injection
539,9,Timestamp-Dependency,code snippet injection
482,3,Timestamp-Dependency,code snippet injection
451,4,Timestamp-Dependency,code snippet injection
420,5,Timestamp-Dependency,code snippet injection
389,9,Timestamp-Dependency,code snippet injection
349,3,Timestamp-Dependency,code snippet injection
320,4,Timestamp-Dependency,code snippet injection
299,5,Timestamp-Dependency,code snippet injection
113,4,Timestamp-Dependency,code snippet injection
103,9,Timestamp-Dependency,code snippet injection
99,3,Timestamp-Dependency,code snippet injection
94,4,Timestamp-Dependency,code snippet injection
88,5,Timestamp-Dependency,code snippet injection
78,9,Timestamp-Dependency,code snippet injection
74,3,Timestamp-Dependency,code snippet injection
65,4,Timestamp-Dependency,code snippet injection
56,5,Timestamp-Dependency,code snippet injection
26,9,Timestamp-Dependency,code snippet injection
14,3,Timestamp-Dependency,code snippet injection
238,5,Timestamp-Dependency,code snippet injection
232,4,Timestamp-Dependency,code snippet injection
226,5,Timestamp-Dependency,code snippet injection
216,9,Timestamp-Dependency,code snippet injection
212,3,Timestamp-Dependency,code snippet injection
207,4,Timestamp-Dependency,code snippet injection
201,5,Timestamp-Dependency,code snippet injection
191,9,Timestamp-Dependency,code snippet injection
6,3,Timestamp-Dependency,code snippet injection
