loc,length,bug type,approach
30,1,Timestamp-Dependency,code snippet injection
28,1,Timestamp-Dependency,code snippet injection
25,1,Timestamp-Dependency,code snippet injection
23,1,Timestamp-Dependency,code snippet injection
21,1,Timestamp-Dependency,code snippet injection
17,3,Timestamp-Dependency,code snippet injection
12,4,Timestamp-Dependency,code snippet injection
6,5,Timestamp-Dependency,code snippet injection
269,9,Timestamp-Dependency,code snippet injection
262,3,Timestamp-Dependency,code snippet injection
251,4,Timestamp-Dependency,code snippet injection
242,5,Timestamp-Dependency,code snippet injection
208,9,Timestamp-Dependency,code snippet injection
196,3,Timestamp-Dependency,code snippet injection
183,4,Timestamp-Dependency,code snippet injection
172,5,Timestamp-Dependency,code snippet injection
161,4,Timestamp-Dependency,code snippet injection
146,9,Timestamp-Dependency,code snippet injection
108,3,Timestamp-Dependency,code snippet injection
103,4,Timestamp-Dependency,code snippet injection
96,5,Timestamp-Dependency,code snippet injection
86,9,Timestamp-Dependency,code snippet injection
82,3,Timestamp-Dependency,code snippet injection
76,4,Timestamp-Dependency,code snippet injection
69,5,Timestamp-Dependency,code snippet injection
58,9,Timestamp-Dependency,code snippet injection
54,3,Timestamp-Dependency,code snippet injection
48,5,Timestamp-Dependency,code snippet injection
