loc,length,bug type,approach
58,1,Timestamp-Dependency,code snippet injection
54,1,Timestamp-Dependency,code snippet injection
50,1,Timestamp-Dependency,code snippet injection
222,1,Timestamp-Dependency,code snippet injection
203,1,Timestamp-Dependency,code snippet injection
185,3,Timestamp-Dependency,code snippet injection
162,4,Timestamp-Dependency,code snippet injection
142,5,Timestamp-Dependency,code snippet injection
117,9,Timestamp-Dependency,code snippet injection
101,3,Timestamp-Dependency,code snippet injection
76,4,Timestamp-Dependency,code snippet injection
42,5,Timestamp-Dependency,code snippet injection
32,9,Timestamp-Dependency,code snippet injection
26,3,Timestamp-Dependency,code snippet injection
20,4,Timestamp-Dependency,code snippet injection
14,5,Timestamp-Dependency,code snippet injection
9,4,Timestamp-Dependency,code snippet injection
