loc,length,bug type,approach
474,1,Timestamp-Dependency,code snippet injection
461,1,Timestamp-Dependency,code snippet injection
453,1,Timestamp-Dependency,code snippet injection
445,1,Timestamp-Dependency,code snippet injection
437,1,Timestamp-Dependency,code snippet injection
395,3,Timestamp-Dependency,code snippet injection
382,4,Timestamp-Dependency,code snippet injection
358,5,Timestamp-Dependency,code snippet injection
336,9,Timestamp-Dependency,code snippet injection
319,3,Timestamp-Dependency,code snippet injection
301,4,Timestamp-Dependency,code snippet injection
281,5,Timestamp-Dependency,code snippet injection
258,9,Timestamp-Dependency,code snippet injection
240,3,Timestamp-Dependency,code snippet injection
221,4,Timestamp-Dependency,code snippet injection
202,5,Timestamp-Dependency,code snippet injection
184,4,Timestamp-Dependency,code snippet injection
165,9,Timestamp-Dependency,code snippet injection
152,3,Timestamp-Dependency,code snippet injection
139,4,Timestamp-Dependency,code snippet injection
425,5,Timestamp-Dependency,code snippet injection
415,9,Timestamp-Dependency,code snippet injection
411,3,Timestamp-Dependency,code snippet injection
127,4,Timestamp-Dependency,code snippet injection
120,5,Timestamp-Dependency,code snippet injection
109,9,Timestamp-Dependency,code snippet injection
