loc,length,bug type,approach
342,13,Re-entrancy,code snippet injection
321,20,Re-entrancy,code snippet injection
307,13,Re-entrancy,code snippet injection
294,12,Re-entrancy,code snippet injection
279,14,Re-entrancy,code snippet injection
262,16,Re-entrancy,code snippet injection
135,14,Re-entrancy,code snippet injection
684,16,Re-entrancy,code snippet injection
657,8,Re-entrancy,code snippet injection
621,27,Re-entrancy,code snippet injection
568,28,Re-entrancy,code snippet injection
550,12,Re-entrancy,code snippet injection
526,20,Re-entrancy,code snippet injection
509,8,Re-entrancy,code snippet injection
495,6,Re-entrancy,code snippet injection
479,8,Re-entrancy,code snippet injection
467,7,Re-entrancy,code snippet injection
447,8,Re-entrancy,code snippet injection
432,10,Re-entrancy,code snippet injection
419,8,Re-entrancy,code snippet injection
400,8,Re-entrancy,code snippet injection
386,5,Re-entrancy,code snippet injection
360,14,Re-entrancy,code snippet injection
187,8,Re-entrancy,code snippet injection
172,7,Re-entrancy,code snippet injection
154,8,Re-entrancy,code snippet injection
250,10,Re-entrancy,code snippet injection
241,8,Re-entrancy,code snippet injection
232,8,Re-entrancy,code snippet injection
225,5,Re-entrancy,code snippet injection
216,8,Re-entrancy,code snippet injection
208,7,Re-entrancy,code snippet injection
124,8,Re-entrancy,code snippet injection
107,16,Re-entrancy,code snippet injection
