loc,length,bug type,approach
1241,13,Re-entrancy,code snippet injection
1210,20,Re-entrancy,code snippet injection
1160,13,Re-entrancy,code snippet injection
1141,12,Re-entrancy,code snippet injection
1082,14,Re-entrancy,code snippet injection
1045,16,Re-entrancy,code snippet injection
1010,14,Re-entrancy,code snippet injection
973,16,Re-entrancy,code snippet injection
960,8,Re-entrancy,code snippet injection
915,27,Re-entrancy,code snippet injection
877,28,Re-entrancy,code snippet injection
856,12,Re-entrancy,code snippet injection
827,20,Re-entrancy,code snippet injection
796,8,Re-entrancy,code snippet injection
769,6,Re-entrancy,code snippet injection
702,8,Re-entrancy,code snippet injection
686,7,Re-entrancy,code snippet injection
669,8,Re-entrancy,code snippet injection
650,10,Re-entrancy,code snippet injection
628,8,Re-entrancy,code snippet injection
588,8,Re-entrancy,code snippet injection
555,5,Re-entrancy,code snippet injection
528,14,Re-entrancy,code snippet injection
516,8,Re-entrancy,code snippet injection
499,7,Re-entrancy,code snippet injection
467,8,Re-entrancy,code snippet injection
447,10,Re-entrancy,code snippet injection
420,8,Re-entrancy,code snippet injection
411,8,Re-entrancy,code snippet injection
405,5,Re-entrancy,code snippet injection
396,8,Re-entrancy,code snippet injection
388,7,Re-entrancy,code snippet injection
378,8,Re-entrancy,code snippet injection
361,16,Re-entrancy,code snippet injection
350,10,Re-entrancy,code snippet injection
341,8,Re-entrancy,code snippet injection
332,8,Re-entrancy,code snippet injection
317,14,Re-entrancy,code snippet injection
300,16,Re-entrancy,code snippet injection
282,17,Re-entrancy,code snippet injection
254,27,Re-entrancy,code snippet injection
225,28,Re-entrancy,code snippet injection
