loc,length,bug type,approach
439,13,Re-entrancy,code snippet injection
413,20,Re-entrancy,code snippet injection
17,13,Re-entrancy,code snippet injection
841,12,Re-entrancy,code snippet injection
816,14,Re-entrancy,code snippet injection
779,16,Re-entrancy,code snippet injection
728,14,Re-entrancy,code snippet injection
693,16,Re-entrancy,code snippet injection
668,8,Re-entrancy,code snippet injection
623,27,Re-entrancy,code snippet injection
583,28,Re-entrancy,code snippet injection
563,12,Re-entrancy,code snippet injection
536,20,Re-entrancy,code snippet injection
515,8,Re-entrancy,code snippet injection
504,6,Re-entrancy,code snippet injection
489,8,Re-entrancy,code snippet injection
473,7,Re-entrancy,code snippet injection
393,8,Re-entrancy,code snippet injection
367,10,Re-entrancy,code snippet injection
351,8,Re-entrancy,code snippet injection
335,8,Re-entrancy,code snippet injection
300,5,Re-entrancy,code snippet injection
276,14,Re-entrancy,code snippet injection
51,8,Re-entrancy,code snippet injection
35,7,Re-entrancy,code snippet injection
252,8,Re-entrancy,code snippet injection
241,10,Re-entrancy,code snippet injection
232,8,Re-entrancy,code snippet injection
222,8,Re-entrancy,code snippet injection
216,5,Re-entrancy,code snippet injection
207,8,Re-entrancy,code snippet injection
197,7,Re-entrancy,code snippet injection
188,8,Re-entrancy,code snippet injection
170,16,Re-entrancy,code snippet injection
158,10,Re-entrancy,code snippet injection
7,8,Re-entrancy,code snippet injection
