loc,length,bug type,approach
367,13,Re-entrancy,code snippet injection
346,20,Re-entrancy,code snippet injection
332,13,Re-entrancy,code snippet injection
80,12,Re-entrancy,code snippet injection
65,14,Re-entrancy,code snippet injection
48,16,Re-entrancy,code snippet injection
33,14,Re-entrancy,code snippet injection
495,16,Re-entrancy,code snippet injection
478,8,Re-entrancy,code snippet injection
438,27,Re-entrancy,code snippet injection
401,28,Re-entrancy,code snippet injection
384,12,Re-entrancy,code snippet injection
294,20,Re-entrancy,code snippet injection
280,8,Re-entrancy,code snippet injection
268,6,Re-entrancy,code snippet injection
253,8,Re-entrancy,code snippet injection
239,7,Re-entrancy,code snippet injection
226,8,Re-entrancy,code snippet injection
211,10,Re-entrancy,code snippet injection
198,8,Re-entrancy,code snippet injection
185,8,Re-entrancy,code snippet injection
175,5,Re-entrancy,code snippet injection
156,14,Re-entrancy,code snippet injection
125,8,Re-entrancy,code snippet injection
113,7,Re-entrancy,code snippet injection
100,8,Re-entrancy,code snippet injection
318,10,Re-entrancy,code snippet injection
23,8,Re-entrancy,code snippet injection
14,8,Re-entrancy,code snippet injection
8,5,Re-entrancy,code snippet injection
