loc,length,bug type,approach
296,13,Re-entrancy,code snippet injection
275,20,Re-entrancy,code snippet injection
261,13,Re-entrancy,code snippet injection
108,12,Re-entrancy,code snippet injection
41,14,Re-entrancy,code snippet injection
651,16,Re-entrancy,code snippet injection
627,14,Re-entrancy,code snippet injection
604,16,Re-entrancy,code snippet injection
588,8,Re-entrancy,code snippet injection
557,27,Re-entrancy,code snippet injection
474,28,Re-entrancy,code snippet injection
454,12,Re-entrancy,code snippet injection
419,20,Re-entrancy,code snippet injection
393,8,Re-entrancy,code snippet injection
379,6,Re-entrancy,code snippet injection
362,8,Re-entrancy,code snippet injection
351,7,Re-entrancy,code snippet injection
340,8,Re-entrancy,code snippet injection
328,10,Re-entrancy,code snippet injection
186,8,Re-entrancy,code snippet injection
169,8,Re-entrancy,code snippet injection
132,5,Re-entrancy,code snippet injection
78,14,Re-entrancy,code snippet injection
60,8,Re-entrancy,code snippet injection
537,7,Re-entrancy,code snippet injection
246,8,Re-entrancy,code snippet injection
235,10,Re-entrancy,code snippet injection
226,8,Re-entrancy,code snippet injection
217,8,Re-entrancy,code snippet injection
101,5,Re-entrancy,code snippet injection
31,8,Re-entrancy,code snippet injection
