loc,length,bug type,approach
349,13,Re-entrancy,code snippet injection
328,20,Re-entrancy,code snippet injection
314,13,Re-entrancy,code snippet injection
301,12,Re-entrancy,code snippet injection
52,14,Re-entrancy,code snippet injection
838,16,Re-entrancy,code snippet injection
819,14,Re-entrancy,code snippet injection
798,16,Re-entrancy,code snippet injection
785,8,Re-entrancy,code snippet injection
753,27,Re-entrancy,code snippet injection
719,28,Re-entrancy,code snippet injection
701,12,Re-entrancy,code snippet injection
673,20,Re-entrancy,code snippet injection
661,8,Re-entrancy,code snippet injection
649,6,Re-entrancy,code snippet injection
634,8,Re-entrancy,code snippet injection
620,7,Re-entrancy,code snippet injection
556,8,Re-entrancy,code snippet injection
539,10,Re-entrancy,code snippet injection
525,8,Re-entrancy,code snippet injection
460,8,Re-entrancy,code snippet injection
450,5,Re-entrancy,code snippet injection
430,14,Re-entrancy,code snippet injection
418,8,Re-entrancy,code snippet injection
407,7,Re-entrancy,code snippet injection
395,8,Re-entrancy,code snippet injection
148,10,Re-entrancy,code snippet injection
136,8,Re-entrancy,code snippet injection
124,8,Re-entrancy,code snippet injection
115,5,Re-entrancy,code snippet injection
92,8,Re-entrancy,code snippet injection
72,7,Re-entrancy,code snippet injection
382,8,Re-entrancy,code snippet injection
365,16,Re-entrancy,code snippet injection
290,10,Re-entrancy,code snippet injection
281,8,Re-entrancy,code snippet injection
272,8,Re-entrancy,code snippet injection
257,14,Re-entrancy,code snippet injection
240,16,Re-entrancy,code snippet injection
222,17,Re-entrancy,code snippet injection
194,27,Re-entrancy,code snippet injection
164,28,Re-entrancy,code snippet injection
