loc,length,bug type,approach
410,13,Re-entrancy,code snippet injection
665,20,Re-entrancy,code snippet injection
647,13,Re-entrancy,code snippet injection
629,12,Re-entrancy,code snippet injection
606,14,Re-entrancy,code snippet injection
585,16,Re-entrancy,code snippet injection
542,14,Re-entrancy,code snippet injection
512,16,Re-entrancy,code snippet injection
497,8,Re-entrancy,code snippet injection
465,27,Re-entrancy,code snippet injection
432,28,Re-entrancy,code snippet injection
294,12,Re-entrancy,code snippet injection
264,20,Re-entrancy,code snippet injection
252,8,Re-entrancy,code snippet injection
242,6,Re-entrancy,code snippet injection
220,8,Re-entrancy,code snippet injection
202,7,Re-entrancy,code snippet injection
189,8,Re-entrancy,code snippet injection
61,10,Re-entrancy,code snippet injection
52,8,Re-entrancy,code snippet injection
43,8,Re-entrancy,code snippet injection
35,5,Re-entrancy,code snippet injection
20,14,Re-entrancy,code snippet injection
11,8,Re-entrancy,code snippet injection
395,7,Re-entrancy,code snippet injection
384,8,Re-entrancy,code snippet injection
373,10,Re-entrancy,code snippet injection
361,8,Re-entrancy,code snippet injection
351,8,Re-entrancy,code snippet injection
344,5,Re-entrancy,code snippet injection
333,8,Re-entrancy,code snippet injection
323,7,Re-entrancy,code snippet injection
310,8,Re-entrancy,code snippet injection
159,16,Re-entrancy,code snippet injection
147,10,Re-entrancy,code snippet injection
137,8,Re-entrancy,code snippet injection
128,8,Re-entrancy,code snippet injection
112,14,Re-entrancy,code snippet injection
95,16,Re-entrancy,code snippet injection
77,17,Re-entrancy,code snippet injection
