loc,length,bug type,approach
157,13,Re-entrancy,code snippet injection
92,20,Re-entrancy,code snippet injection
222,13,Re-entrancy,code snippet injection
196,12,Re-entrancy,code snippet injection
142,14,Re-entrancy,code snippet injection
118,16,Re-entrancy,code snippet injection
170,14,Re-entrancy,code snippet injection
73,16,Re-entrancy,code snippet injection
64,8,Re-entrancy,code snippet injection
36,27,Re-entrancy,code snippet injection
6,28,Re-entrancy,code snippet injection
