loc,length,bug type,approach
156,13,Re-entrancy,code snippet injection
91,20,Re-entrancy,code snippet injection
221,13,Re-entrancy,code snippet injection
195,12,Re-entrancy,code snippet injection
141,14,Re-entrancy,code snippet injection
117,16,Re-entrancy,code snippet injection
169,14,Re-entrancy,code snippet injection
72,16,Re-entrancy,code snippet injection
63,8,Re-entrancy,code snippet injection
35,27,Re-entrancy,code snippet injection
5,28,Re-entrancy,code snippet injection
