loc,length,bug type,approach
138,1,Timestamp-Dependency,code snippet injection
135,1,Timestamp-Dependency,code snippet injection
132,1,Timestamp-Dependency,code snippet injection
75,1,Timestamp-Dependency,code snippet injection
346,1,Timestamp-Dependency,code snippet injection
339,3,Timestamp-Dependency,code snippet injection
327,4,Timestamp-Dependency,code snippet injection
314,5,Timestamp-Dependency,code snippet injection
295,9,Timestamp-Dependency,code snippet injection
284,3,Timestamp-Dependency,code snippet injection
208,4,Timestamp-Dependency,code snippet injection
194,5,Timestamp-Dependency,code snippet injection
178,9,Timestamp-Dependency,code snippet injection
168,3,Timestamp-Dependency,code snippet injection
159,4,Timestamp-Dependency,code snippet injection
147,5,Timestamp-Dependency,code snippet injection
80,4,Timestamp-Dependency,code snippet injection
61,9,Timestamp-Dependency,code snippet injection
261,3,Timestamp-Dependency,code snippet injection
248,4,Timestamp-Dependency,code snippet injection
242,5,Timestamp-Dependency,code snippet injection
231,9,Timestamp-Dependency,code snippet injection
227,3,Timestamp-Dependency,code snippet injection
222,4,Timestamp-Dependency,code snippet injection
125,5,Timestamp-Dependency,code snippet injection
115,9,Timestamp-Dependency,code snippet injection
110,3,Timestamp-Dependency,code snippet injection
104,5,Timestamp-Dependency,code snippet injection
99,4,Timestamp-Dependency,code snippet injection
93,5,Timestamp-Dependency,code snippet injection
47,9,Timestamp-Dependency,code snippet injection
