loc,length,bug type,approach
63,1,Timestamp-Dependency,code snippet injection
60,1,Timestamp-Dependency,code snippet injection
90,1,Timestamp-Dependency,code snippet injection
285,1,Timestamp-Dependency,code snippet injection
279,1,Timestamp-Dependency,code snippet injection
258,3,Timestamp-Dependency,code snippet injection
235,4,Timestamp-Dependency,code snippet injection
220,5,Timestamp-Dependency,code snippet injection
206,9,Timestamp-Dependency,code snippet injection
198,3,Timestamp-Dependency,code snippet injection
185,4,Timestamp-Dependency,code snippet injection
174,5,Timestamp-Dependency,code snippet injection
159,9,Timestamp-Dependency,code snippet injection
151,3,Timestamp-Dependency,code snippet injection
142,4,Timestamp-Dependency,code snippet injection
132,5,Timestamp-Dependency,code snippet injection
121,4,Timestamp-Dependency,code snippet injection
107,9,Timestamp-Dependency,code snippet injection
97,3,Timestamp-Dependency,code snippet injection
80,4,Timestamp-Dependency,code snippet injection
53,5,Timestamp-Dependency,code snippet injection
42,9,Timestamp-Dependency,code snippet injection
31,3,Timestamp-Dependency,code snippet injection
25,4,Timestamp-Dependency,code snippet injection
18,5,Timestamp-Dependency,code snippet injection
7,9,Timestamp-Dependency,code snippet injection
