loc,length,bug type,approach
81,1,Timestamp-Dependency,code snippet injection
345,1,Timestamp-Dependency,code snippet injection
339,1,Timestamp-Dependency,code snippet injection
333,1,Timestamp-Dependency,code snippet injection
327,1,Timestamp-Dependency,code snippet injection
319,3,Timestamp-Dependency,code snippet injection
310,4,Timestamp-Dependency,code snippet injection
300,5,Timestamp-Dependency,code snippet injection
286,9,Timestamp-Dependency,code snippet injection
278,3,Timestamp-Dependency,code snippet injection
269,4,Timestamp-Dependency,code snippet injection
259,5,Timestamp-Dependency,code snippet injection
245,9,Timestamp-Dependency,code snippet injection
237,3,Timestamp-Dependency,code snippet injection
228,4,Timestamp-Dependency,code snippet injection
218,5,Timestamp-Dependency,code snippet injection
209,4,Timestamp-Dependency,code snippet injection
195,9,Timestamp-Dependency,code snippet injection
187,3,Timestamp-Dependency,code snippet injection
178,4,Timestamp-Dependency,code snippet injection
168,5,Timestamp-Dependency,code snippet injection
149,9,Timestamp-Dependency,code snippet injection
138,3,Timestamp-Dependency,code snippet injection
122,4,Timestamp-Dependency,code snippet injection
112,5,Timestamp-Dependency,code snippet injection
98,9,Timestamp-Dependency,code snippet injection
90,3,Timestamp-Dependency,code snippet injection
68,5,Timestamp-Dependency,code snippet injection
56,4,Timestamp-Dependency,code snippet injection
