loc,length,bug type,approach
262,1,Timestamp-Dependency,code snippet injection
260,1,Timestamp-Dependency,code snippet injection
258,1,Timestamp-Dependency,code snippet injection
281,1,Timestamp-Dependency,code snippet injection
273,1,Timestamp-Dependency,code snippet injection
395,3,Timestamp-Dependency,code snippet injection
384,4,Timestamp-Dependency,code snippet injection
373,5,Timestamp-Dependency,code snippet injection
358,9,Timestamp-Dependency,code snippet injection
345,3,Timestamp-Dependency,code snippet injection
326,4,Timestamp-Dependency,code snippet injection
290,5,Timestamp-Dependency,code snippet injection
27,9,Timestamp-Dependency,code snippet injection
23,3,Timestamp-Dependency,code snippet injection
15,4,Timestamp-Dependency,code snippet injection
202,5,Timestamp-Dependency,code snippet injection
194,4,Timestamp-Dependency,code snippet injection
181,9,Timestamp-Dependency,code snippet injection
174,3,Timestamp-Dependency,code snippet injection
166,4,Timestamp-Dependency,code snippet injection
157,5,Timestamp-Dependency,code snippet injection
