loc,length,bug type,approach
279,1,Timestamp-Dependency,code snippet injection
262,1,Timestamp-Dependency,code snippet injection
254,1,Timestamp-Dependency,code snippet injection
246,1,Timestamp-Dependency,code snippet injection
238,1,Timestamp-Dependency,code snippet injection
214,3,Timestamp-Dependency,code snippet injection
202,4,Timestamp-Dependency,code snippet injection
189,5,Timestamp-Dependency,code snippet injection
171,9,Timestamp-Dependency,code snippet injection
161,3,Timestamp-Dependency,code snippet injection
153,4,Timestamp-Dependency,code snippet injection
144,5,Timestamp-Dependency,code snippet injection
130,9,Timestamp-Dependency,code snippet injection
121,3,Timestamp-Dependency,code snippet injection
112,4,Timestamp-Dependency,code snippet injection
103,5,Timestamp-Dependency,code snippet injection
266,4,Timestamp-Dependency,code snippet injection
222,9,Timestamp-Dependency,code snippet injection
94,3,Timestamp-Dependency,code snippet injection
89,4,Timestamp-Dependency,code snippet injection
80,5,Timestamp-Dependency,code snippet injection
70,9,Timestamp-Dependency,code snippet injection
