loc,length,bug type,approach
843,1,Timestamp-Dependency,code snippet injection
839,1,Timestamp-Dependency,code snippet injection
766,1,Timestamp-Dependency,code snippet injection
764,1,Timestamp-Dependency,code snippet injection
696,1,Timestamp-Dependency,code snippet injection
692,3,Timestamp-Dependency,code snippet injection
924,4,Timestamp-Dependency,code snippet injection
914,5,Timestamp-Dependency,code snippet injection
893,9,Timestamp-Dependency,code snippet injection
884,3,Timestamp-Dependency,code snippet injection
862,4,Timestamp-Dependency,code snippet injection
852,5,Timestamp-Dependency,code snippet injection
826,9,Timestamp-Dependency,code snippet injection
818,3,Timestamp-Dependency,code snippet injection
809,4,Timestamp-Dependency,code snippet injection
800,5,Timestamp-Dependency,code snippet injection
792,4,Timestamp-Dependency,code snippet injection
774,9,Timestamp-Dependency,code snippet injection
756,3,Timestamp-Dependency,code snippet injection
747,4,Timestamp-Dependency,code snippet injection
737,5,Timestamp-Dependency,code snippet injection
724,9,Timestamp-Dependency,code snippet injection
717,3,Timestamp-Dependency,code snippet injection
704,4,Timestamp-Dependency,code snippet injection
658,5,Timestamp-Dependency,code snippet injection
629,9,Timestamp-Dependency,code snippet injection
609,3,Timestamp-Dependency,code snippet injection
594,5,Timestamp-Dependency,code snippet injection
573,4,Timestamp-Dependency,code snippet injection
546,5,Timestamp-Dependency,code snippet injection
515,9,Timestamp-Dependency,code snippet injection
490,3,Timestamp-Dependency,code snippet injection
469,4,Timestamp-Dependency,code snippet injection
457,5,Timestamp-Dependency,code snippet injection
443,9,Timestamp-Dependency,code snippet injection
434,3,Timestamp-Dependency,code snippet injection
416,4,Timestamp-Dependency,code snippet injection
406,5,Timestamp-Dependency,code snippet injection
384,9,Timestamp-Dependency,code snippet injection
362,9,Timestamp-Dependency,code snippet injection
349,3,Timestamp-Dependency,code snippet injection
340,4,Timestamp-Dependency,code snippet injection
320,5,Timestamp-Dependency,code snippet injection
306,9,Timestamp-Dependency,code snippet injection
298,3,Timestamp-Dependency,code snippet injection
