loc,length,bug type,approach
258,1,Timestamp-Dependency,code snippet injection
256,1,Timestamp-Dependency,code snippet injection
254,1,Timestamp-Dependency,code snippet injection
252,1,Timestamp-Dependency,code snippet injection
250,1,Timestamp-Dependency,code snippet injection
246,3,Timestamp-Dependency,code snippet injection
46,4,Timestamp-Dependency,code snippet injection
40,5,Timestamp-Dependency,code snippet injection
540,9,Timestamp-Dependency,code snippet injection
483,3,Timestamp-Dependency,code snippet injection
452,4,Timestamp-Dependency,code snippet injection
421,5,Timestamp-Dependency,code snippet injection
390,9,Timestamp-Dependency,code snippet injection
350,3,Timestamp-Dependency,code snippet injection
321,4,Timestamp-Dependency,code snippet injection
300,5,Timestamp-Dependency,code snippet injection
114,4,Timestamp-Dependency,code snippet injection
104,9,Timestamp-Dependency,code snippet injection
100,3,Timestamp-Dependency,code snippet injection
95,4,Timestamp-Dependency,code snippet injection
89,5,Timestamp-Dependency,code snippet injection
79,9,Timestamp-Dependency,code snippet injection
75,3,Timestamp-Dependency,code snippet injection
66,4,Timestamp-Dependency,code snippet injection
57,5,Timestamp-Dependency,code snippet injection
27,9,Timestamp-Dependency,code snippet injection
15,3,Timestamp-Dependency,code snippet injection
239,5,Timestamp-Dependency,code snippet injection
233,4,Timestamp-Dependency,code snippet injection
227,5,Timestamp-Dependency,code snippet injection
217,9,Timestamp-Dependency,code snippet injection
213,3,Timestamp-Dependency,code snippet injection
208,4,Timestamp-Dependency,code snippet injection
202,5,Timestamp-Dependency,code snippet injection
192,9,Timestamp-Dependency,code snippet injection
7,3,Timestamp-Dependency,code snippet injection
