loc,length,bug type,approach
530,13,Re-entrancy,code snippet injection
504,20,Re-entrancy,code snippet injection
483,13,Re-entrancy,code snippet injection
467,12,Re-entrancy,code snippet injection
447,14,Re-entrancy,code snippet injection
424,16,Re-entrancy,code snippet injection
403,14,Re-entrancy,code snippet injection
366,16,Re-entrancy,code snippet injection
351,8,Re-entrancy,code snippet injection
318,27,Re-entrancy,code snippet injection
273,28,Re-entrancy,code snippet injection
255,12,Re-entrancy,code snippet injection
231,20,Re-entrancy,code snippet injection
219,8,Re-entrancy,code snippet injection
209,6,Re-entrancy,code snippet injection
126,8,Re-entrancy,code snippet injection
115,7,Re-entrancy,code snippet injection
103,8,Re-entrancy,code snippet injection
89,10,Re-entrancy,code snippet injection
196,8,Re-entrancy,code snippet injection
187,8,Re-entrancy,code snippet injection
181,5,Re-entrancy,code snippet injection
166,14,Re-entrancy,code snippet injection
157,8,Re-entrancy,code snippet injection
148,7,Re-entrancy,code snippet injection
139,8,Re-entrancy,code snippet injection
72,10,Re-entrancy,code snippet injection
63,8,Re-entrancy,code snippet injection
54,8,Re-entrancy,code snippet injection
