loc,length,bug type,approach
164,13,Re-entrancy,code snippet injection
143,20,Re-entrancy,code snippet injection
344,13,Re-entrancy,code snippet injection
328,12,Re-entrancy,code snippet injection
308,14,Re-entrancy,code snippet injection
288,16,Re-entrancy,code snippet injection
262,14,Re-entrancy,code snippet injection
238,16,Re-entrancy,code snippet injection
133,8,Re-entrancy,code snippet injection
101,27,Re-entrancy,code snippet injection
67,28,Re-entrancy,code snippet injection
48,12,Re-entrancy,code snippet injection
22,20,Re-entrancy,code snippet injection
221,8,Re-entrancy,code snippet injection
214,6,Re-entrancy,code snippet injection
205,8,Re-entrancy,code snippet injection
191,7,Re-entrancy,code snippet injection
182,8,Re-entrancy,code snippet injection
