loc,length,bug type,approach
43,13,Re-entrancy,code snippet injection
22,20,Re-entrancy,code snippet injection
8,13,Re-entrancy,code snippet injection
400,12,Re-entrancy,code snippet injection
381,14,Re-entrancy,code snippet injection
358,16,Re-entrancy,code snippet injection
338,14,Re-entrancy,code snippet injection
312,16,Re-entrancy,code snippet injection
300,8,Re-entrancy,code snippet injection
266,27,Re-entrancy,code snippet injection
230,28,Re-entrancy,code snippet injection
194,12,Re-entrancy,code snippet injection
153,20,Re-entrancy,code snippet injection
123,8,Re-entrancy,code snippet injection
114,6,Re-entrancy,code snippet injection
105,8,Re-entrancy,code snippet injection
96,7,Re-entrancy,code snippet injection
87,8,Re-entrancy,code snippet injection
76,10,Re-entrancy,code snippet injection
67,8,Re-entrancy,code snippet injection
58,8,Re-entrancy,code snippet injection
