loc,length,bug type,approach
371,13,Re-entrancy,code snippet injection
350,20,Re-entrancy,code snippet injection
336,13,Re-entrancy,code snippet injection
323,12,Re-entrancy,code snippet injection
308,14,Re-entrancy,code snippet injection
291,16,Re-entrancy,code snippet injection
164,14,Re-entrancy,code snippet injection
713,16,Re-entrancy,code snippet injection
686,8,Re-entrancy,code snippet injection
650,27,Re-entrancy,code snippet injection
597,28,Re-entrancy,code snippet injection
579,12,Re-entrancy,code snippet injection
555,20,Re-entrancy,code snippet injection
538,8,Re-entrancy,code snippet injection
524,6,Re-entrancy,code snippet injection
508,8,Re-entrancy,code snippet injection
496,7,Re-entrancy,code snippet injection
476,8,Re-entrancy,code snippet injection
461,10,Re-entrancy,code snippet injection
448,8,Re-entrancy,code snippet injection
429,8,Re-entrancy,code snippet injection
415,5,Re-entrancy,code snippet injection
389,14,Re-entrancy,code snippet injection
216,8,Re-entrancy,code snippet injection
201,7,Re-entrancy,code snippet injection
183,8,Re-entrancy,code snippet injection
279,10,Re-entrancy,code snippet injection
270,8,Re-entrancy,code snippet injection
261,8,Re-entrancy,code snippet injection
254,5,Re-entrancy,code snippet injection
245,8,Re-entrancy,code snippet injection
237,7,Re-entrancy,code snippet injection
153,8,Re-entrancy,code snippet injection
136,16,Re-entrancy,code snippet injection
