loc,length,bug type,approach
351,13,Re-entrancy,code snippet injection
330,20,Re-entrancy,code snippet injection
316,13,Re-entrancy,code snippet injection
303,12,Re-entrancy,code snippet injection
54,14,Re-entrancy,code snippet injection
840,16,Re-entrancy,code snippet injection
821,14,Re-entrancy,code snippet injection
800,16,Re-entrancy,code snippet injection
787,8,Re-entrancy,code snippet injection
755,27,Re-entrancy,code snippet injection
721,28,Re-entrancy,code snippet injection
703,12,Re-entrancy,code snippet injection
675,20,Re-entrancy,code snippet injection
663,8,Re-entrancy,code snippet injection
651,6,Re-entrancy,code snippet injection
636,8,Re-entrancy,code snippet injection
622,7,Re-entrancy,code snippet injection
558,8,Re-entrancy,code snippet injection
541,10,Re-entrancy,code snippet injection
527,8,Re-entrancy,code snippet injection
462,8,Re-entrancy,code snippet injection
452,5,Re-entrancy,code snippet injection
432,14,Re-entrancy,code snippet injection
420,8,Re-entrancy,code snippet injection
409,7,Re-entrancy,code snippet injection
397,8,Re-entrancy,code snippet injection
150,10,Re-entrancy,code snippet injection
138,8,Re-entrancy,code snippet injection
126,8,Re-entrancy,code snippet injection
117,5,Re-entrancy,code snippet injection
94,8,Re-entrancy,code snippet injection
74,7,Re-entrancy,code snippet injection
384,8,Re-entrancy,code snippet injection
367,16,Re-entrancy,code snippet injection
292,10,Re-entrancy,code snippet injection
283,8,Re-entrancy,code snippet injection
274,8,Re-entrancy,code snippet injection
259,14,Re-entrancy,code snippet injection
242,16,Re-entrancy,code snippet injection
224,17,Re-entrancy,code snippet injection
196,27,Re-entrancy,code snippet injection
166,28,Re-entrancy,code snippet injection
