loc,length,bug type,approach
155,13,Re-entrancy,code snippet injection
102,20,Re-entrancy,code snippet injection
88,13,Re-entrancy,code snippet injection
534,12,Re-entrancy,code snippet injection
512,14,Re-entrancy,code snippet injection
488,16,Re-entrancy,code snippet injection
461,14,Re-entrancy,code snippet injection
436,16,Re-entrancy,code snippet injection
410,8,Re-entrancy,code snippet injection
368,27,Re-entrancy,code snippet injection
327,28,Re-entrancy,code snippet injection
307,12,Re-entrancy,code snippet injection
279,20,Re-entrancy,code snippet injection
202,8,Re-entrancy,code snippet injection
190,6,Re-entrancy,code snippet injection
173,8,Re-entrancy,code snippet injection
128,7,Re-entrancy,code snippet injection
79,8,Re-entrancy,code snippet injection
68,10,Re-entrancy,code snippet injection
59,8,Re-entrancy,code snippet injection
50,8,Re-entrancy,code snippet injection
44,5,Re-entrancy,code snippet injection
29,14,Re-entrancy,code snippet injection
256,8,Re-entrancy,code snippet injection
245,7,Re-entrancy,code snippet injection
236,8,Re-entrancy,code snippet injection
225,10,Re-entrancy,code snippet injection
216,8,Re-entrancy,code snippet injection
145,8,Re-entrancy,code snippet injection
139,5,Re-entrancy,code snippet injection
