loc,length,bug type,approach
122,13,Re-entrancy,code snippet injection
101,20,Re-entrancy,code snippet injection
86,13,Re-entrancy,code snippet injection
73,12,Re-entrancy,code snippet injection
58,14,Re-entrancy,code snippet injection
41,16,Re-entrancy,code snippet injection
26,14,Re-entrancy,code snippet injection
9,16,Re-entrancy,code snippet injection
485,8,Re-entrancy,code snippet injection
454,27,Re-entrancy,code snippet injection
419,28,Re-entrancy,code snippet injection
403,12,Re-entrancy,code snippet injection
358,20,Re-entrancy,code snippet injection
341,8,Re-entrancy,code snippet injection
326,6,Re-entrancy,code snippet injection
312,8,Re-entrancy,code snippet injection
298,7,Re-entrancy,code snippet injection
284,8,Re-entrancy,code snippet injection
239,10,Re-entrancy,code snippet injection
230,8,Re-entrancy,code snippet injection
220,8,Re-entrancy,code snippet injection
214,5,Re-entrancy,code snippet injection
199,14,Re-entrancy,code snippet injection
189,8,Re-entrancy,code snippet injection
180,7,Re-entrancy,code snippet injection
170,8,Re-entrancy,code snippet injection
159,10,Re-entrancy,code snippet injection
150,8,Re-entrancy,code snippet injection
