loc,length,bug type,approach
297,13,Re-entrancy,code snippet injection
276,20,Re-entrancy,code snippet injection
262,13,Re-entrancy,code snippet injection
109,12,Re-entrancy,code snippet injection
42,14,Re-entrancy,code snippet injection
652,16,Re-entrancy,code snippet injection
628,14,Re-entrancy,code snippet injection
605,16,Re-entrancy,code snippet injection
589,8,Re-entrancy,code snippet injection
558,27,Re-entrancy,code snippet injection
475,28,Re-entrancy,code snippet injection
455,12,Re-entrancy,code snippet injection
420,20,Re-entrancy,code snippet injection
394,8,Re-entrancy,code snippet injection
380,6,Re-entrancy,code snippet injection
363,8,Re-entrancy,code snippet injection
352,7,Re-entrancy,code snippet injection
341,8,Re-entrancy,code snippet injection
329,10,Re-entrancy,code snippet injection
187,8,Re-entrancy,code snippet injection
170,8,Re-entrancy,code snippet injection
133,5,Re-entrancy,code snippet injection
79,14,Re-entrancy,code snippet injection
61,8,Re-entrancy,code snippet injection
538,7,Re-entrancy,code snippet injection
247,8,Re-entrancy,code snippet injection
236,10,Re-entrancy,code snippet injection
227,8,Re-entrancy,code snippet injection
218,8,Re-entrancy,code snippet injection
102,5,Re-entrancy,code snippet injection
32,8,Re-entrancy,code snippet injection
