loc,length,bug type,approach
106,10,Overflow-Underflow,code snippet injection
97,8,Overflow-Underflow,code snippet injection
92,4,Overflow-Underflow,code snippet injection
87,4,Overflow-Underflow,code snippet injection
76,10,Overflow-Underflow,code snippet injection
67,8,Overflow-Underflow,code snippet injection
62,4,Overflow-Underflow,code snippet injection
333,4,Overflow-Underflow,code snippet injection
316,10,Overflow-Underflow,code snippet injection
303,8,Overflow-Underflow,code snippet injection
294,4,Overflow-Underflow,code snippet injection
281,8,Overflow-Underflow,code snippet injection
266,4,Overflow-Underflow,code snippet injection
222,10,Overflow-Underflow,code snippet injection
174,8,Overflow-Underflow,code snippet injection
154,4,Overflow-Underflow,code snippet injection
137,4,Overflow-Underflow,code snippet injection
122,10,Overflow-Underflow,code snippet injection
51,8,Overflow-Underflow,code snippet injection
37,4,Overflow-Underflow,code snippet injection
13,4,Overflow-Underflow,code snippet injection
