loc,length,bug type,approach
72,10,Overflow-Underflow,code snippet injection
62,8,Overflow-Underflow,code snippet injection
335,4,Overflow-Underflow,code snippet injection
326,4,Overflow-Underflow,code snippet injection
298,10,Overflow-Underflow,code snippet injection
271,8,Overflow-Underflow,code snippet injection
257,4,Overflow-Underflow,code snippet injection
248,4,Overflow-Underflow,code snippet injection
233,10,Overflow-Underflow,code snippet injection
216,8,Overflow-Underflow,code snippet injection
206,4,Overflow-Underflow,code snippet injection
192,8,Overflow-Underflow,code snippet injection
183,4,Overflow-Underflow,code snippet injection
168,10,Overflow-Underflow,code snippet injection
155,8,Overflow-Underflow,code snippet injection
144,4,Overflow-Underflow,code snippet injection
135,4,Overflow-Underflow,code snippet injection
118,10,Overflow-Underflow,code snippet injection
98,8,Overflow-Underflow,code snippet injection
56,4,Overflow-Underflow,code snippet injection
50,4,Overflow-Underflow,code snippet injection
32,10,Overflow-Underflow,code snippet injection
26,4,Overflow-Underflow,code snippet injection
16,8,Overflow-Underflow,code snippet injection
10,4,Overflow-Underflow,code snippet injection
