loc,length,bug type,approach
228,10,Overflow-Underflow,code snippet injection
219,8,Overflow-Underflow,code snippet injection
214,4,Overflow-Underflow,code snippet injection
209,4,Overflow-Underflow,code snippet injection
54,10,Overflow-Underflow,code snippet injection
592,8,Overflow-Underflow,code snippet injection
583,4,Overflow-Underflow,code snippet injection
574,4,Overflow-Underflow,code snippet injection
559,10,Overflow-Underflow,code snippet injection
546,8,Overflow-Underflow,code snippet injection
536,4,Overflow-Underflow,code snippet injection
522,8,Overflow-Underflow,code snippet injection
510,4,Overflow-Underflow,code snippet injection
496,10,Overflow-Underflow,code snippet injection
482,8,Overflow-Underflow,code snippet injection
471,4,Overflow-Underflow,code snippet injection
460,4,Overflow-Underflow,code snippet injection
394,10,Overflow-Underflow,code snippet injection
379,8,Overflow-Underflow,code snippet injection
369,4,Overflow-Underflow,code snippet injection
308,4,Overflow-Underflow,code snippet injection
293,10,Overflow-Underflow,code snippet injection
283,4,Overflow-Underflow,code snippet injection
271,8,Overflow-Underflow,code snippet injection
263,4,Overflow-Underflow,code snippet injection
255,4,Overflow-Underflow,code snippet injection
144,10,Overflow-Underflow,code snippet injection
132,8,Overflow-Underflow,code snippet injection
124,4,Overflow-Underflow,code snippet injection
116,4,Overflow-Underflow,code snippet injection
91,10,Overflow-Underflow,code snippet injection
70,8,Overflow-Underflow,code snippet injection
246,4,Overflow-Underflow,code snippet injection
241,4,Overflow-Underflow,code snippet injection
204,4,Overflow-Underflow,code snippet injection
193,10,Overflow-Underflow,code snippet injection
184,8,Overflow-Underflow,code snippet injection
179,4,Overflow-Underflow,code snippet injection
174,4,Overflow-Underflow,code snippet injection
163,10,Overflow-Underflow,code snippet injection
