loc,length,bug type,approach
318,10,Overflow-Underflow,code snippet injection
478,8,Overflow-Underflow,code snippet injection
469,4,Overflow-Underflow,code snippet injection
459,4,Overflow-Underflow,code snippet injection
440,10,Overflow-Underflow,code snippet injection
427,8,Overflow-Underflow,code snippet injection
394,4,Overflow-Underflow,code snippet injection
376,4,Overflow-Underflow,code snippet injection
359,10,Overflow-Underflow,code snippet injection
346,8,Overflow-Underflow,code snippet injection
337,4,Overflow-Underflow,code snippet injection
219,8,Overflow-Underflow,code snippet injection
205,4,Overflow-Underflow,code snippet injection
191,10,Overflow-Underflow,code snippet injection
179,8,Overflow-Underflow,code snippet injection
161,4,Overflow-Underflow,code snippet injection
146,4,Overflow-Underflow,code snippet injection
131,10,Overflow-Underflow,code snippet injection
50,8,Overflow-Underflow,code snippet injection
45,4,Overflow-Underflow,code snippet injection
40,4,Overflow-Underflow,code snippet injection
27,10,Overflow-Underflow,code snippet injection
22,4,Overflow-Underflow,code snippet injection
13,8,Overflow-Underflow,code snippet injection
306,4,Overflow-Underflow,code snippet injection
299,4,Overflow-Underflow,code snippet injection
288,10,Overflow-Underflow,code snippet injection
276,8,Overflow-Underflow,code snippet injection
270,4,Overflow-Underflow,code snippet injection
264,4,Overflow-Underflow,code snippet injection
251,10,Overflow-Underflow,code snippet injection
240,8,Overflow-Underflow,code snippet injection
231,4,Overflow-Underflow,code snippet injection
113,4,Overflow-Underflow,code snippet injection
107,4,Overflow-Underflow,code snippet injection
95,10,Overflow-Underflow,code snippet injection
86,8,Overflow-Underflow,code snippet injection
80,4,Overflow-Underflow,code snippet injection
75,4,Overflow-Underflow,code snippet injection
64,10,Overflow-Underflow,code snippet injection
