loc,length,bug type,approach
265,10,Overflow-Underflow,code snippet injection
105,8,Overflow-Underflow,code snippet injection
321,4,Overflow-Underflow,code snippet injection
311,4,Overflow-Underflow,code snippet injection
281,10,Overflow-Underflow,code snippet injection
224,8,Overflow-Underflow,code snippet injection
187,4,Overflow-Underflow,code snippet injection
174,4,Overflow-Underflow,code snippet injection
156,10,Overflow-Underflow,code snippet injection
133,8,Overflow-Underflow,code snippet injection
122,4,Overflow-Underflow,code snippet injection
255,8,Overflow-Underflow,code snippet injection
250,4,Overflow-Underflow,code snippet injection
207,10,Overflow-Underflow,code snippet injection
95,8,Overflow-Underflow,code snippet injection
