loc,length,bug type,approach
307,10,Overflow-Underflow,code snippet injection
298,8,Overflow-Underflow,code snippet injection
293,4,Overflow-Underflow,code snippet injection
288,4,Overflow-Underflow,code snippet injection
277,10,Overflow-Underflow,code snippet injection
268,8,Overflow-Underflow,code snippet injection
56,4,Overflow-Underflow,code snippet injection
51,4,Overflow-Underflow,code snippet injection
611,10,Overflow-Underflow,code snippet injection
549,8,Overflow-Underflow,code snippet injection
518,4,Overflow-Underflow,code snippet injection
484,8,Overflow-Underflow,code snippet injection
458,4,Overflow-Underflow,code snippet injection
411,10,Overflow-Underflow,code snippet injection
378,8,Overflow-Underflow,code snippet injection
358,4,Overflow-Underflow,code snippet injection
134,4,Overflow-Underflow,code snippet injection
123,10,Overflow-Underflow,code snippet injection
114,8,Overflow-Underflow,code snippet injection
109,4,Overflow-Underflow,code snippet injection
104,4,Overflow-Underflow,code snippet injection
93,10,Overflow-Underflow,code snippet injection
88,4,Overflow-Underflow,code snippet injection
75,8,Overflow-Underflow,code snippet injection
67,4,Overflow-Underflow,code snippet injection
43,4,Overflow-Underflow,code snippet injection
24,10,Overflow-Underflow,code snippet injection
258,8,Overflow-Underflow,code snippet injection
252,4,Overflow-Underflow,code snippet injection
247,4,Overflow-Underflow,code snippet injection
236,10,Overflow-Underflow,code snippet injection
227,8,Overflow-Underflow,code snippet injection
222,4,Overflow-Underflow,code snippet injection
217,4,Overflow-Underflow,code snippet injection
212,4,Overflow-Underflow,code snippet injection
9,10,Overflow-Underflow,code snippet injection
