loc,length,bug type,approach
80,10,Overflow-Underflow,code snippet injection
69,8,Overflow-Underflow,code snippet injection
62,4,Overflow-Underflow,code snippet injection
272,4,Overflow-Underflow,code snippet injection
244,10,Overflow-Underflow,code snippet injection
221,8,Overflow-Underflow,code snippet injection
198,4,Overflow-Underflow,code snippet injection
179,4,Overflow-Underflow,code snippet injection
153,10,Overflow-Underflow,code snippet injection
132,8,Overflow-Underflow,code snippet injection
107,4,Overflow-Underflow,code snippet injection
51,8,Overflow-Underflow,code snippet injection
46,4,Overflow-Underflow,code snippet injection
33,10,Overflow-Underflow,code snippet injection
23,8,Overflow-Underflow,code snippet injection
18,4,Overflow-Underflow,code snippet injection
13,4,Overflow-Underflow,code snippet injection
