loc,length,bug type,approach
70,10,Overflow-Underflow,code snippet injection
522,8,Overflow-Underflow,code snippet injection
514,4,Overflow-Underflow,code snippet injection
505,4,Overflow-Underflow,code snippet injection
482,10,Overflow-Underflow,code snippet injection
327,8,Overflow-Underflow,code snippet injection
311,4,Overflow-Underflow,code snippet injection
289,4,Overflow-Underflow,code snippet injection
257,10,Overflow-Underflow,code snippet injection
238,8,Overflow-Underflow,code snippet injection
227,4,Overflow-Underflow,code snippet injection
211,8,Overflow-Underflow,code snippet injection
143,4,Overflow-Underflow,code snippet injection
24,10,Overflow-Underflow,code snippet injection
15,8,Overflow-Underflow,code snippet injection
10,4,Overflow-Underflow,code snippet injection
5,4,Overflow-Underflow,code snippet injection
189,10,Overflow-Underflow,code snippet injection
179,8,Overflow-Underflow,code snippet injection
173,4,Overflow-Underflow,code snippet injection
167,4,Overflow-Underflow,code snippet injection
155,10,Overflow-Underflow,code snippet injection
149,4,Overflow-Underflow,code snippet injection
106,8,Overflow-Underflow,code snippet injection
100,4,Overflow-Underflow,code snippet injection
94,4,Overflow-Underflow,code snippet injection
82,10,Overflow-Underflow,code snippet injection
