loc,length,bug type,approach
130,10,Overflow-Underflow,code snippet injection
116,8,Overflow-Underflow,code snippet injection
295,4,Overflow-Underflow,code snippet injection
288,4,Overflow-Underflow,code snippet injection
271,10,Overflow-Underflow,code snippet injection
254,8,Overflow-Underflow,code snippet injection
245,4,Overflow-Underflow,code snippet injection
236,4,Overflow-Underflow,code snippet injection
220,10,Overflow-Underflow,code snippet injection
207,8,Overflow-Underflow,code snippet injection
199,4,Overflow-Underflow,code snippet injection
186,8,Overflow-Underflow,code snippet injection
178,4,Overflow-Underflow,code snippet injection
164,10,Overflow-Underflow,code snippet injection
153,8,Overflow-Underflow,code snippet injection
145,4,Overflow-Underflow,code snippet injection
116,4,Overflow-Underflow,code snippet injection
98,10,Overflow-Underflow,code snippet injection
89,8,Overflow-Underflow,code snippet injection
84,4,Overflow-Underflow,code snippet injection
79,4,Overflow-Underflow,code snippet injection
68,10,Overflow-Underflow,code snippet injection
63,4,Overflow-Underflow,code snippet injection
