loc,length,bug type,approach
203,5,tx-origin,code snippet injection
198,4,tx-origin,code snippet injection
193,4,tx-origin,code snippet injection
78,3,tx-origin,code snippet injection
37,4,tx-origin,code snippet injection
424,4,tx-origin,code snippet injection
410,4,tx-origin,code snippet injection
400,3,tx-origin,code snippet injection
388,4,tx-origin,code snippet injection
380,4,tx-origin,code snippet injection
324,4,tx-origin,code snippet injection
311,5,tx-origin,code snippet injection
293,3,tx-origin,code snippet injection
271,4,tx-origin,code snippet injection
259,4,tx-origin,code snippet injection
246,4,tx-origin,code snippet injection
239,3,tx-origin,code snippet injection
232,4,tx-origin,code snippet injection
226,4,tx-origin,code snippet injection
141,4,tx-origin,code snippet injection
129,3,tx-origin,code snippet injection
93,4,tx-origin,code snippet injection
60,4,tx-origin,code snippet injection
46,4,tx-origin,code snippet injection
362,4,tx-origin,code snippet injection
183,3,tx-origin,code snippet injection
178,4,tx-origin,code snippet injection
173,4,tx-origin,code snippet injection
168,4,tx-origin,code snippet injection
73,3,tx-origin,code snippet injection
31,4,tx-origin,code snippet injection
