loc,length,bug type,approach
224,5,tx-origin,code snippet injection
219,4,tx-origin,code snippet injection
214,4,tx-origin,code snippet injection
210,3,tx-origin,code snippet injection
205,4,tx-origin,code snippet injection
200,4,tx-origin,code snippet injection
118,4,tx-origin,code snippet injection
440,3,tx-origin,code snippet injection
417,4,tx-origin,code snippet injection
404,4,tx-origin,code snippet injection
375,4,tx-origin,code snippet injection
364,5,tx-origin,code snippet injection
357,3,tx-origin,code snippet injection
344,4,tx-origin,code snippet injection
332,4,tx-origin,code snippet injection
320,4,tx-origin,code snippet injection
312,3,tx-origin,code snippet injection
296,4,tx-origin,code snippet injection
287,4,tx-origin,code snippet injection
278,4,tx-origin,code snippet injection
264,3,tx-origin,code snippet injection
251,4,tx-origin,code snippet injection
235,4,tx-origin,code snippet injection
152,4,tx-origin,code snippet injection
140,4,tx-origin,code snippet injection
127,3,tx-origin,code snippet injection
194,4,tx-origin,code snippet injection
189,4,tx-origin,code snippet injection
184,4,tx-origin,code snippet injection
179,3,tx-origin,code snippet injection
174,4,tx-origin,code snippet injection
169,4,tx-origin,code snippet injection
111,4,tx-origin,code snippet injection
107,3,tx-origin,code snippet injection
