loc,length,bug type,approach
17,5,tx-origin,code snippet injection
12,4,tx-origin,code snippet injection
7,4,tx-origin,code snippet injection
204,3,tx-origin,code snippet injection
195,4,tx-origin,code snippet injection
184,4,tx-origin,code snippet injection
174,4,tx-origin,code snippet injection
161,3,tx-origin,code snippet injection
150,4,tx-origin,code snippet injection
138,4,tx-origin,code snippet injection
110,4,tx-origin,code snippet injection
84,5,tx-origin,code snippet injection
59,3,tx-origin,code snippet injection
52,4,tx-origin,code snippet injection
47,4,tx-origin,code snippet injection
42,4,tx-origin,code snippet injection
38,3,tx-origin,code snippet injection
33,4,tx-origin,code snippet injection
28,4,tx-origin,code snippet injection
23,4,tx-origin,code snippet injection
