loc,length,bug type,approach
60,5,tx-origin,code snippet injection
452,4,tx-origin,code snippet injection
444,4,tx-origin,code snippet injection
436,3,tx-origin,code snippet injection
419,4,tx-origin,code snippet injection
268,4,tx-origin,code snippet injection
252,4,tx-origin,code snippet injection
231,3,tx-origin,code snippet injection
205,4,tx-origin,code snippet injection
190,4,tx-origin,code snippet injection
179,4,tx-origin,code snippet injection
166,5,tx-origin,code snippet injection
116,3,tx-origin,code snippet injection
20,4,tx-origin,code snippet injection
15,4,tx-origin,code snippet injection
10,4,tx-origin,code snippet injection
6,3,tx-origin,code snippet injection
150,4,tx-origin,code snippet injection
144,4,tx-origin,code snippet injection
138,4,tx-origin,code snippet injection
133,3,tx-origin,code snippet injection
127,4,tx-origin,code snippet injection
121,4,tx-origin,code snippet injection
83,4,tx-origin,code snippet injection
77,4,tx-origin,code snippet injection
72,3,tx-origin,code snippet injection
66,4,tx-origin,code snippet injection
