loc,length,bug type,approach
184,5,tx-origin,code snippet injection
172,4,tx-origin,code snippet injection
158,4,tx-origin,code snippet injection
131,3,tx-origin,code snippet injection
123,4,tx-origin,code snippet injection
115,4,tx-origin,code snippet injection
83,4,tx-origin,code snippet injection
79,3,tx-origin,code snippet injection
74,4,tx-origin,code snippet injection
69,4,tx-origin,code snippet injection
63,4,tx-origin,code snippet injection
57,5,tx-origin,code snippet injection
52,3,tx-origin,code snippet injection
47,4,tx-origin,code snippet injection
42,4,tx-origin,code snippet injection
36,4,tx-origin,code snippet injection
32,3,tx-origin,code snippet injection
27,4,tx-origin,code snippet injection
