loc,length,bug type,approach
131,5,tx-origin,code snippet injection
126,4,tx-origin,code snippet injection
16,4,tx-origin,code snippet injection
222,3,tx-origin,code snippet injection
212,4,tx-origin,code snippet injection
204,4,tx-origin,code snippet injection
195,4,tx-origin,code snippet injection
188,3,tx-origin,code snippet injection
180,4,tx-origin,code snippet injection
165,4,tx-origin,code snippet injection
153,4,tx-origin,code snippet injection
88,5,tx-origin,code snippet injection
84,3,tx-origin,code snippet injection
79,4,tx-origin,code snippet injection
38,4,tx-origin,code snippet injection
25,4,tx-origin,code snippet injection
141,3,tx-origin,code snippet injection
120,4,tx-origin,code snippet injection
115,4,tx-origin,code snippet injection
109,4,tx-origin,code snippet injection
105,3,tx-origin,code snippet injection
100,4,tx-origin,code snippet injection
95,4,tx-origin,code snippet injection
10,4,tx-origin,code snippet injection
5,4,tx-origin,code snippet injection
