loc,length,bug type,approach
936,3,Unchecked-Send,code snippet injection
920,5,Unchecked-Send,code snippet injection
880,3,Unchecked-Send,code snippet injection
870,3,Unchecked-Send,code snippet injection
816,3,Unchecked-Send,code snippet injection
792,3,Unchecked-Send,code snippet injection
769,2,Unchecked-Send,code snippet injection
745,3,Unchecked-Send,code snippet injection
737,3,Unchecked-Send,code snippet injection
716,3,Unchecked-Send,code snippet injection
703,3,Unchecked-Send,code snippet injection
691,3,Unchecked-Send,code snippet injection
679,3,Unchecked-Send,code snippet injection
653,3,Unchecked-Send,code snippet injection
629,3,Unchecked-Send,code snippet injection
567,3,Unchecked-Send,code snippet injection
555,3,Unchecked-Send,code snippet injection
543,3,Unchecked-Send,code snippet injection
531,3,Unchecked-Send,code snippet injection
514,3,Unchecked-Send,code snippet injection
479,3,Unchecked-Send,code snippet injection
448,3,Unchecked-Send,code snippet injection
433,2,Unchecked-Send,code snippet injection
426,3,Unchecked-Send,code snippet injection
413,3,Unchecked-Send,code snippet injection
386,3,Unchecked-Send,code snippet injection
370,6,Unchecked-Send,code snippet injection
346,5,Unchecked-Send,code snippet injection
342,3,Unchecked-Send,code snippet injection
338,3,Unchecked-Send,code snippet injection
334,3,Unchecked-Send,code snippet injection
330,3,Unchecked-Send,code snippet injection
326,2,Unchecked-Send,code snippet injection
316,9,Unchecked-Send,code snippet injection
306,9,Unchecked-Send,code snippet injection
302,3,Unchecked-Send,code snippet injection
293,8,Unchecked-Send,code snippet injection
287,5,Unchecked-Send,code snippet injection
277,9,Unchecked-Send,code snippet injection
270,6,Unchecked-Send,code snippet injection
264,5,Unchecked-Send,code snippet injection
260,3,Unchecked-Send,code snippet injection
255,3,Unchecked-Send,code snippet injection
249,3,Unchecked-Send,code snippet injection
238,8,Unchecked-Send,code snippet injection
232,5,Unchecked-Send,code snippet injection
222,9,Unchecked-Send,code snippet injection
215,6,Unchecked-Send,code snippet injection
