loc,length,bug type,approach
170,3,Unchecked-Send,code snippet injection
157,5,Unchecked-Send,code snippet injection
144,3,Unchecked-Send,code snippet injection
117,3,Unchecked-Send,code snippet injection
110,3,Unchecked-Send,code snippet injection
103,3,Unchecked-Send,code snippet injection
73,2,Unchecked-Send,code snippet injection
69,3,Unchecked-Send,code snippet injection
65,3,Unchecked-Send,code snippet injection
61,3,Unchecked-Send,code snippet injection
56,3,Unchecked-Send,code snippet injection
52,3,Unchecked-Send,code snippet injection
47,3,Unchecked-Send,code snippet injection
43,3,Unchecked-Send,code snippet injection
39,3,Unchecked-Send,code snippet injection
34,3,Unchecked-Send,code snippet injection
30,3,Unchecked-Send,code snippet injection
26,3,Unchecked-Send,code snippet injection
