loc,length,bug type,approach
198,3,Unchecked-Send,code snippet injection
192,5,Unchecked-Send,code snippet injection
188,3,Unchecked-Send,code snippet injection
33,3,Unchecked-Send,code snippet injection
29,3,Unchecked-Send,code snippet injection
25,3,Unchecked-Send,code snippet injection
22,2,Unchecked-Send,code snippet injection
255,3,Unchecked-Send,code snippet injection
243,3,Unchecked-Send,code snippet injection
227,3,Unchecked-Send,code snippet injection
215,3,Unchecked-Send,code snippet injection
207,3,Unchecked-Send,code snippet injection
173,3,Unchecked-Send,code snippet injection
164,3,Unchecked-Send,code snippet injection
155,3,Unchecked-Send,code snippet injection
145,3,Unchecked-Send,code snippet injection
135,3,Unchecked-Send,code snippet injection
127,3,Unchecked-Send,code snippet injection
119,3,Unchecked-Send,code snippet injection
111,3,Unchecked-Send,code snippet injection
103,3,Unchecked-Send,code snippet injection
95,3,Unchecked-Send,code snippet injection
88,2,Unchecked-Send,code snippet injection
62,3,Unchecked-Send,code snippet injection
54,3,Unchecked-Send,code snippet injection
46,3,Unchecked-Send,code snippet injection
180,6,Unchecked-Send,code snippet injection
15,5,Unchecked-Send,code snippet injection
11,3,Unchecked-Send,code snippet injection
7,3,Unchecked-Send,code snippet injection
