loc,length,bug type,approach
54,3,Unchecked-Send,code snippet injection
46,5,Unchecked-Send,code snippet injection
40,3,Unchecked-Send,code snippet injection
211,3,Unchecked-Send,code snippet injection
190,3,Unchecked-Send,code snippet injection
172,3,Unchecked-Send,code snippet injection
151,2,Unchecked-Send,code snippet injection
133,3,Unchecked-Send,code snippet injection
114,3,Unchecked-Send,code snippet injection
98,3,Unchecked-Send,code snippet injection
74,3,Unchecked-Send,code snippet injection
34,3,Unchecked-Send,code snippet injection
30,3,Unchecked-Send,code snippet injection
24,3,Unchecked-Send,code snippet injection
19,3,Unchecked-Send,code snippet injection
15,3,Unchecked-Send,code snippet injection
11,3,Unchecked-Send,code snippet injection
