loc,length,bug type,approach
16,3,Unchecked-Send,code snippet injection
10,5,Unchecked-Send,code snippet injection
6,3,Unchecked-Send,code snippet injection
195,3,Unchecked-Send,code snippet injection
187,3,Unchecked-Send,code snippet injection
177,3,Unchecked-Send,code snippet injection
169,2,Unchecked-Send,code snippet injection
156,3,Unchecked-Send,code snippet injection
149,3,Unchecked-Send,code snippet injection
139,3,Unchecked-Send,code snippet injection
128,3,Unchecked-Send,code snippet injection
101,3,Unchecked-Send,code snippet injection
77,3,Unchecked-Send,code snippet injection
52,3,Unchecked-Send,code snippet injection
46,3,Unchecked-Send,code snippet injection
42,3,Unchecked-Send,code snippet injection
37,3,Unchecked-Send,code snippet injection
33,3,Unchecked-Send,code snippet injection
29,3,Unchecked-Send,code snippet injection
25,3,Unchecked-Send,code snippet injection
21,3,Unchecked-Send,code snippet injection
