loc,length,bug type,approach
165,3,Unchecked-Send,code snippet injection
159,5,Unchecked-Send,code snippet injection
209,3,Unchecked-Send,code snippet injection
199,3,Unchecked-Send,code snippet injection
152,3,Unchecked-Send,code snippet injection
140,3,Unchecked-Send,code snippet injection
127,2,Unchecked-Send,code snippet injection
110,3,Unchecked-Send,code snippet injection
95,3,Unchecked-Send,code snippet injection
63,3,Unchecked-Send,code snippet injection
59,3,Unchecked-Send,code snippet injection
55,3,Unchecked-Send,code snippet injection
51,3,Unchecked-Send,code snippet injection
47,3,Unchecked-Send,code snippet injection
188,3,Unchecked-Send,code snippet injection
184,3,Unchecked-Send,code snippet injection
180,3,Unchecked-Send,code snippet injection
176,3,Unchecked-Send,code snippet injection
83,3,Unchecked-Send,code snippet injection
79,3,Unchecked-Send,code snippet injection
75,3,Unchecked-Send,code snippet injection
