loc,length,bug type,approach
67,3,Unchecked-Send,code snippet injection
61,5,Unchecked-Send,code snippet injection
157,3,Unchecked-Send,code snippet injection
150,3,Unchecked-Send,code snippet injection
141,3,Unchecked-Send,code snippet injection
134,3,Unchecked-Send,code snippet injection
120,2,Unchecked-Send,code snippet injection
109,3,Unchecked-Send,code snippet injection
56,3,Unchecked-Send,code snippet injection
48,3,Unchecked-Send,code snippet injection
39,3,Unchecked-Send,code snippet injection
29,3,Unchecked-Send,code snippet injection
20,3,Unchecked-Send,code snippet injection
97,3,Unchecked-Send,code snippet injection
93,3,Unchecked-Send,code snippet injection
89,3,Unchecked-Send,code snippet injection
79,3,Unchecked-Send,code snippet injection
75,3,Unchecked-Send,code snippet injection
