loc,length,bug type,approach
16,5,tx-origin,code snippet injection
11,4,tx-origin,code snippet injection
6,4,tx-origin,code snippet injection
203,3,tx-origin,code snippet injection
194,4,tx-origin,code snippet injection
183,4,tx-origin,code snippet injection
173,4,tx-origin,code snippet injection
160,3,tx-origin,code snippet injection
149,4,tx-origin,code snippet injection
137,4,tx-origin,code snippet injection
109,4,tx-origin,code snippet injection
83,5,tx-origin,code snippet injection
58,3,tx-origin,code snippet injection
51,4,tx-origin,code snippet injection
46,4,tx-origin,code snippet injection
41,4,tx-origin,code snippet injection
37,3,tx-origin,code snippet injection
32,4,tx-origin,code snippet injection
27,4,tx-origin,code snippet injection
22,4,tx-origin,code snippet injection
