loc,length,bug type,approach
58,5,tx-origin,code snippet injection
51,4,tx-origin,code snippet injection
44,4,tx-origin,code snippet injection
223,3,tx-origin,code snippet injection
201,4,tx-origin,code snippet injection
182,4,tx-origin,code snippet injection
159,4,tx-origin,code snippet injection
141,3,tx-origin,code snippet injection
121,4,tx-origin,code snippet injection
104,4,tx-origin,code snippet injection
79,4,tx-origin,code snippet injection
36,5,tx-origin,code snippet injection
32,3,tx-origin,code snippet injection
25,4,tx-origin,code snippet injection
19,4,tx-origin,code snippet injection
14,4,tx-origin,code snippet injection
10,3,tx-origin,code snippet injection
