loc,length,bug type,approach
59,5,tx-origin,code snippet injection
451,4,tx-origin,code snippet injection
443,4,tx-origin,code snippet injection
435,3,tx-origin,code snippet injection
418,4,tx-origin,code snippet injection
267,4,tx-origin,code snippet injection
251,4,tx-origin,code snippet injection
230,3,tx-origin,code snippet injection
204,4,tx-origin,code snippet injection
189,4,tx-origin,code snippet injection
178,4,tx-origin,code snippet injection
165,5,tx-origin,code snippet injection
115,3,tx-origin,code snippet injection
19,4,tx-origin,code snippet injection
14,4,tx-origin,code snippet injection
9,4,tx-origin,code snippet injection
5,3,tx-origin,code snippet injection
149,4,tx-origin,code snippet injection
143,4,tx-origin,code snippet injection
137,4,tx-origin,code snippet injection
132,3,tx-origin,code snippet injection
126,4,tx-origin,code snippet injection
120,4,tx-origin,code snippet injection
82,4,tx-origin,code snippet injection
76,4,tx-origin,code snippet injection
71,3,tx-origin,code snippet injection
65,4,tx-origin,code snippet injection
