loc,length,bug type,approach
123,5,tx-origin,code snippet injection
117,4,tx-origin,code snippet injection
111,4,tx-origin,code snippet injection
318,3,tx-origin,code snippet injection
310,4,tx-origin,code snippet injection
298,4,tx-origin,code snippet injection
286,4,tx-origin,code snippet injection
273,3,tx-origin,code snippet injection
261,4,tx-origin,code snippet injection
190,4,tx-origin,code snippet injection
177,4,tx-origin,code snippet injection
165,5,tx-origin,code snippet injection
155,3,tx-origin,code snippet injection
146,4,tx-origin,code snippet injection
135,4,tx-origin,code snippet injection
67,4,tx-origin,code snippet injection
55,3,tx-origin,code snippet injection
236,4,tx-origin,code snippet injection
223,4,tx-origin,code snippet injection
218,4,tx-origin,code snippet injection
213,3,tx-origin,code snippet injection
208,4,tx-origin,code snippet injection
203,4,tx-origin,code snippet injection
105,4,tx-origin,code snippet injection
100,4,tx-origin,code snippet injection
95,3,tx-origin,code snippet injection
90,4,tx-origin,code snippet injection
85,4,tx-origin,code snippet injection
80,4,tx-origin,code snippet injection
47,3,tx-origin,code snippet injection
