loc,length,bug type,approach
16,5,tx-origin,code snippet injection
11,4,tx-origin,code snippet injection
6,4,tx-origin,code snippet injection
211,3,tx-origin,code snippet injection
202,4,tx-origin,code snippet injection
191,4,tx-origin,code snippet injection
181,4,tx-origin,code snippet injection
168,3,tx-origin,code snippet injection
160,4,tx-origin,code snippet injection
149,4,tx-origin,code snippet injection
137,4,tx-origin,code snippet injection
108,5,tx-origin,code snippet injection
84,3,tx-origin,code snippet injection
58,4,tx-origin,code snippet injection
51,4,tx-origin,code snippet injection
46,4,tx-origin,code snippet injection
41,3,tx-origin,code snippet injection
36,4,tx-origin,code snippet injection
31,4,tx-origin,code snippet injection
26,4,tx-origin,code snippet injection
22,3,tx-origin,code snippet injection
