loc,length,bug type,approach
69,10,Overflow-Underflow,code snippet injection
59,8,Overflow-Underflow,code snippet injection
332,4,Overflow-Underflow,code snippet injection
323,4,Overflow-Underflow,code snippet injection
295,10,Overflow-Underflow,code snippet injection
268,8,Overflow-Underflow,code snippet injection
254,4,Overflow-Underflow,code snippet injection
245,4,Overflow-Underflow,code snippet injection
230,10,Overflow-Underflow,code snippet injection
213,8,Overflow-Underflow,code snippet injection
203,4,Overflow-Underflow,code snippet injection
189,8,Overflow-Underflow,code snippet injection
180,4,Overflow-Underflow,code snippet injection
165,10,Overflow-Underflow,code snippet injection
152,8,Overflow-Underflow,code snippet injection
141,4,Overflow-Underflow,code snippet injection
132,4,Overflow-Underflow,code snippet injection
115,10,Overflow-Underflow,code snippet injection
95,8,Overflow-Underflow,code snippet injection
53,4,Overflow-Underflow,code snippet injection
47,4,Overflow-Underflow,code snippet injection
29,10,Overflow-Underflow,code snippet injection
23,4,Overflow-Underflow,code snippet injection
13,8,Overflow-Underflow,code snippet injection
7,4,Overflow-Underflow,code snippet injection
