loc,length,bug type,approach
56,10,Overflow-Underflow,code snippet injection
47,8,Overflow-Underflow,code snippet injection
41,4,Overflow-Underflow,code snippet injection
36,4,Overflow-Underflow,code snippet injection
25,10,Overflow-Underflow,code snippet injection
16,8,Overflow-Underflow,code snippet injection
11,4,Overflow-Underflow,code snippet injection
6,4,Overflow-Underflow,code snippet injection
332,10,Overflow-Underflow,code snippet injection
320,8,Overflow-Underflow,code snippet injection
309,4,Overflow-Underflow,code snippet injection
297,8,Overflow-Underflow,code snippet injection
268,4,Overflow-Underflow,code snippet injection
249,10,Overflow-Underflow,code snippet injection
232,8,Overflow-Underflow,code snippet injection
222,4,Overflow-Underflow,code snippet injection
211,4,Overflow-Underflow,code snippet injection
195,10,Overflow-Underflow,code snippet injection
152,8,Overflow-Underflow,code snippet injection
147,4,Overflow-Underflow,code snippet injection
141,4,Overflow-Underflow,code snippet injection
130,10,Overflow-Underflow,code snippet injection
125,4,Overflow-Underflow,code snippet injection
115,8,Overflow-Underflow,code snippet injection
109,4,Overflow-Underflow,code snippet injection
103,4,Overflow-Underflow,code snippet injection
92,10,Overflow-Underflow,code snippet injection
83,8,Overflow-Underflow,code snippet injection
