loc,length,bug type,approach
395,10,Overflow-Underflow,code snippet injection
382,8,Overflow-Underflow,code snippet injection
373,4,Overflow-Underflow,code snippet injection
364,4,Overflow-Underflow,code snippet injection
349,10,Overflow-Underflow,code snippet injection
336,8,Overflow-Underflow,code snippet injection
327,4,Overflow-Underflow,code snippet injection
318,4,Overflow-Underflow,code snippet injection
303,10,Overflow-Underflow,code snippet injection
290,8,Overflow-Underflow,code snippet injection
281,4,Overflow-Underflow,code snippet injection
268,8,Overflow-Underflow,code snippet injection
259,4,Overflow-Underflow,code snippet injection
244,10,Overflow-Underflow,code snippet injection
231,8,Overflow-Underflow,code snippet injection
222,4,Overflow-Underflow,code snippet injection
213,4,Overflow-Underflow,code snippet injection
198,10,Overflow-Underflow,code snippet injection
185,8,Overflow-Underflow,code snippet injection
176,4,Overflow-Underflow,code snippet injection
162,4,Overflow-Underflow,code snippet injection
144,10,Overflow-Underflow,code snippet injection
128,4,Overflow-Underflow,code snippet injection
115,8,Overflow-Underflow,code snippet injection
106,4,Overflow-Underflow,code snippet injection
97,4,Overflow-Underflow,code snippet injection
71,10,Overflow-Underflow,code snippet injection
55,8,Overflow-Underflow,code snippet injection
