loc,length,bug type,approach
21,10,Overflow-Underflow,code snippet injection
12,8,Overflow-Underflow,code snippet injection
7,4,Overflow-Underflow,code snippet injection
269,4,Overflow-Underflow,code snippet injection
254,10,Overflow-Underflow,code snippet injection
239,8,Overflow-Underflow,code snippet injection
229,4,Overflow-Underflow,code snippet injection
215,4,Overflow-Underflow,code snippet injection
201,10,Overflow-Underflow,code snippet injection
186,8,Overflow-Underflow,code snippet injection
174,4,Overflow-Underflow,code snippet injection
142,8,Overflow-Underflow,code snippet injection
117,4,Overflow-Underflow,code snippet injection
85,10,Overflow-Underflow,code snippet injection
74,8,Overflow-Underflow,code snippet injection
69,4,Overflow-Underflow,code snippet injection
63,4,Overflow-Underflow,code snippet injection
52,10,Overflow-Underflow,code snippet injection
43,8,Overflow-Underflow,code snippet injection
38,4,Overflow-Underflow,code snippet injection
33,4,Overflow-Underflow,code snippet injection
