loc,length,bug type,approach
182,10,Overflow-Underflow,code snippet injection
140,8,Overflow-Underflow,code snippet injection
131,4,Overflow-Underflow,code snippet injection
523,4,Overflow-Underflow,code snippet injection
506,10,Overflow-Underflow,code snippet injection
494,8,Overflow-Underflow,code snippet injection
477,4,Overflow-Underflow,code snippet injection
468,4,Overflow-Underflow,code snippet injection
455,10,Overflow-Underflow,code snippet injection
443,8,Overflow-Underflow,code snippet injection
435,4,Overflow-Underflow,code snippet injection
422,8,Overflow-Underflow,code snippet injection
414,4,Overflow-Underflow,code snippet injection
400,10,Overflow-Underflow,code snippet injection
387,8,Overflow-Underflow,code snippet injection
377,4,Overflow-Underflow,code snippet injection
318,4,Overflow-Underflow,code snippet injection
284,10,Overflow-Underflow,code snippet injection
272,8,Overflow-Underflow,code snippet injection
241,4,Overflow-Underflow,code snippet injection
182,4,Overflow-Underflow,code snippet injection
171,10,Overflow-Underflow,code snippet injection
166,4,Overflow-Underflow,code snippet injection
154,8,Overflow-Underflow,code snippet injection
131,4,Overflow-Underflow,code snippet injection
126,4,Overflow-Underflow,code snippet injection
115,10,Overflow-Underflow,code snippet injection
106,8,Overflow-Underflow,code snippet injection
101,4,Overflow-Underflow,code snippet injection
96,4,Overflow-Underflow,code snippet injection
360,10,Overflow-Underflow,code snippet injection
350,8,Overflow-Underflow,code snippet injection
341,4,Overflow-Underflow,code snippet injection
336,4,Overflow-Underflow,code snippet injection
331,4,Overflow-Underflow,code snippet injection
301,10,Overflow-Underflow,code snippet injection
204,10,Overflow-Underflow,code snippet injection
