loc,length,bug type,approach
387,10,Overflow-Underflow,code snippet injection
281,8,Overflow-Underflow,code snippet injection
44,4,Overflow-Underflow,code snippet injection
8,4,Overflow-Underflow,code snippet injection
466,10,Overflow-Underflow,code snippet injection
450,8,Overflow-Underflow,code snippet injection
438,4,Overflow-Underflow,code snippet injection
424,4,Overflow-Underflow,code snippet injection
367,10,Overflow-Underflow,code snippet injection
355,8,Overflow-Underflow,code snippet injection
347,4,Overflow-Underflow,code snippet injection
307,8,Overflow-Underflow,code snippet injection
297,4,Overflow-Underflow,code snippet injection
224,10,Overflow-Underflow,code snippet injection
193,8,Overflow-Underflow,code snippet injection
152,4,Overflow-Underflow,code snippet injection
144,4,Overflow-Underflow,code snippet injection
130,10,Overflow-Underflow,code snippet injection
118,8,Overflow-Underflow,code snippet injection
108,4,Overflow-Underflow,code snippet injection
98,4,Overflow-Underflow,code snippet injection
82,10,Overflow-Underflow,code snippet injection
71,4,Overflow-Underflow,code snippet injection
57,8,Overflow-Underflow,code snippet injection
19,4,Overflow-Underflow,code snippet injection
322,4,Overflow-Underflow,code snippet injection
269,10,Overflow-Underflow,code snippet injection
34,8,Overflow-Underflow,code snippet injection
29,4,Overflow-Underflow,code snippet injection
